Answer.age	Answer.gender	Answer.language	Answer.time_in_minutes	Answer.tutorialInfo	competitor_s	competitor_v	distractor_s	distractor_v	img1	img2	img3	imptype	message	ParticipantGender	pos_competitor	pos_distractor	pos_target	pos_target.1	pos1	pos2	pos3	response	rt	target_s	target_v	trial	trialtype	workerid	logrt	half	third	redimptype	choice_location	MessageType
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	sx	v1	s2	v2	s2_v2	s1_v1	sx_v1	simple_c	s1	male	3	1	2	2	distractor	target	competitor	target	4355	s1	v1	0	filler	0	8.3790798892866	1	1	unambiguous	2	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	vx	s2	v2	s1_vx	s1_v1	s2_v2	simple_c	v1	male	1	3	2	2	competitor	target	distractor	target	1560	s1	v1	1	filler	0	7.35244110024358	1	1	unambiguous	2	species
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v1	s2	v2	sx_v1	s1_v1	s2_v2	simple	v1	male	2	3	1	1	target	competitor	distractor	competitor	3920	sx	v1	2	target	0	8.27384693278451	1	1	simple	2	species
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v2	sx	v1	s1_v2	sx_v1	s1_v2	ambig	s1	male	3	2	1	1	target	distractor	competitor	target	2764	s1	v2	3	filler	0	7.92443418488756	1	1	ambiguous	1	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s2	v2	s2	vx	s1_v2	s2_v2	s2_vx	complex_c	s1	male	2	3	1	1	target	competitor	distractor	target	1568	s1	v2	4	filler	0	7.35755620091035	1	1	unambiguous	1	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v2	s1	vx	s2_v2	s1_vx	s1_v2	complex_c	s2	male	3	2	1	1	target	distractor	competitor	target	1421	s2	v2	5	filler	0	7.2591161280971	1	1	unambiguous	1	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v2	s2	v1	s1_vx	s1_v2	s2_v1	simple	s1	male	2	3	1	1	target	competitor	distractor	competitor	1716	s1	vx	6	target	0	7.44775128004791	1	1	simple	2	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s2	v2	s2	vx	s2_vx	s1_v2	s2_v2	complex_c	s1	male	3	1	2	2	distractor	target	competitor	target	2281	s1	v2	7	filler	0	7.73236922228439	1	1	unambiguous	2	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v1	sx	v2	s1_v1	sx_v2	s1_v1	ambig	s1	male	1	2	3	3	competitor	distractor	target	competitor	1800	s1	v1	8	filler	0	7.49554194388426	1	1	ambiguous	1	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	vx	sx	v1	s1_vx	sx_v1	s2_v2	unambig	v2	male	1	2	3	3	competitor	distractor	target	target	1157	s2	v2	9	filler	0	7.05358572719368	1	1	unambiguous	3	species
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v2	sx	v1	sx_v1	s1_v1	s1_v2	complex	s1	male	3	1	2	2	distractor	target	competitor	competitor	1677	s1	v1	10	target	0	7.42476176182321	1	1	complex	3	accessory
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s2	v2	s1	vx	s2_v2	s1_vx	s1_v2	complex	v2	male	1	2	3	3	competitor	distractor	target	target	2772	s1	v2	11	target	0	7.92732436030979	1	1	complex	3	species
37	Male	English	2.87166666666667	[v2,v1,s1,s1]	s1	v2	sx	v2	sx_v2	s1_v1	s1_v2	complex_c	v1	male	3	1	2	2	distractor	target	competitor	target	1985	s1	v1	12	filler	0	7.59337419312129	1	1	unambiguous	2	species
