Answer.age	Answer.gender	Answer.language	Answer.time_in_minutes	competitor	competitor_r	distractor_r	distractor1	distractor2	img1	img2	img3	imptype	msg1	msg2	msg3	msg4	pos_competitor	pos_distractor1	pos_distractor2	pos_target	pos1	pos2	pos3	pos4	response	rpos1	rpos2	rpos3	rt	target	trial	trialtype	trigger_r	workerid	logrt	half	third	redimptype	redresponse
25	female	English	4.07365	s2	{us: usx, uv: uv2}	{us: us1, uv: uv1}	v1	s1	s2_v2	target_sx_v2	s1_v1	simple_c	v2	s2	v1	s1	2	3	4	1	target	competitor	distractor1	distractor2	distractor1	target	competitor	distractor	11128	v2	0	filler	{us: us2, uv: uv2}	1	9.31721973360328	1	1	unambiguous	distractor
25	female	English	4.07365	s1	{us: us2, uv: uv1}	{us: us2, uv: uv1}	v1	s2	s2_v1	target_sx_v2	s2_v1	unambiguous	s2	s1	v1	v2	2	3	1	4	distractor2	competitor	distractor1	target	target	competitor	target	distractor	4762	v2	1	filler	{us: usx, uv: uv2}	1	8.46842302704681	1	1	unambiguous	target
25	female	English	4.07365	s1	{us: us1, uv: uvx}	{us: us2, uv: uv2}	s2	v2	s2_v2	s1_vx	target_s1_v1	simple	v2	s2	v1	s1	4	2	1	3	distractor2	distractor1	target	competitor	target	distractor	competitor	target	1666	v1	2	target	{us: us1, uv: uv1}	1	7.41818082272679	1	1	simple	target
25	female	English	4.07365	s2	{us: usx, uv: uv2}	{us: us1, uv: uvx}	s1	v2	s1_vx	target_s2_v1	sx_v2	ambiguous	v1	s2	v2	s1	2	4	3	1	target	competitor	distractor2	distractor1	target	distractor	target	competitor	1263	v1	3	filler	{us: us2, uv: uv1}	1	7.14124512235049	1	1	ambiguous	target
25	female	English	4.07365	v2	{us: us1, uv: uv1}	{us: usx, uv: uv1}	s1	v1	s1_v1	target_s2_vx	sx_v1	unambiguous	v1	s2	s1	v2	4	3	1	2	distractor2	target	distractor1	competitor	target	competitor	target	distractor	1764	s2	4	filler	{us: us2, uv: uvx}	1	7.47533923656674	1	1	unambiguous	target
25	female	English	4.07365	v1	{us: us1, uv: uv1}	{us: us2, uv: uvx}	s1	v2	s1_v1	s2_v1	target_s2_vx	complex_d	s2	v2	v1	s1	3	4	2	1	target	distractor2	competitor	distractor1	target	competitor	target	distractor	1085	s2	5	filler	{us: us2, uv: uv1}	1	6.98933526597456	1	1	unambiguous	target
25	female	English	4.07365	s2	{us: us2, uv: uv1}	{us: usx, uv: uv2}	v1	s1	s2_v1	target_sx_v2	s2_v2	complex_d	v2	v1	s1	s2	4	2	3	1	target	distractor1	distractor2	competitor	target	competitor	distractor	target	1842	v2	6	filler	{us: us2, uv: uv2}	1	7.51860721681525	1	1	unambiguous	target
25	female	English	4.07365	v2	{us: us2, uv: uv2}	{us: us1, uv: uvx}	s2	v1	s1_v2	target_s1_vx	s2_v2	complex_d	s2	v2	v1	s1	2	1	3	4	distractor1	competitor	distractor2	target	target	target	distractor	competitor	9983	s1	7	filler	{us: us1, uv: uv2}	1	9.20863892533642	1	1	unambiguous	target
25	female	English	4.07365	v2	{us: us2, uv: uv1}	{us: usx, uv: uv2}	v1	s1	s2_v1	sx_v2	target_s2_v2	complex	s1	v2	s2	v1	2	4	1	3	distractor2	competitor	target	distractor1	target	competitor	distractor	target	4091	s2	8	target	{us: us2, uv: uv2}	1	8.3165447179294	1	1	complex	target
25	female	English	4.07365	s1	{us: us1, uv: uv1}	{us: usx, uv: uv2}	v1	s2	target_sx_v2	s1_v2	s1_v1	complex_d	v2	s2	s1	v1	3	4	2	1	target	distractor2	competitor	distractor1	target	distractor	target	competitor	2674	v2	9	filler	{us: us1, uv: uv2}	1	7.89133075766189	1	1	unambiguous	target
25	female	English	4.07365	s2	{us: us1, uv: uvx}	{us: us2, uv: uv1}	v2	s1	s1_vx	s1_v2	target_s2_v1	simple_d	s1	v1	s2	v2	3	4	1	2	distractor2	target	competitor	distractor1	target	competitor	target	distractor	1140	v1	10	filler	{us: us1, uv: uv2}	1	7.03878354138854	1	1	ambiguous	target
25	female	English	4.07365	v1	{us: us2, uv: uv1}	{us: us1, uv: uv1}	s1	s2	s2_v1	s1_v1	target_sx_v2	unambiguous	s1	v1	s2	v2	2	1	3	4	distractor1	competitor	distractor2	target	target	competitor	distractor	target	1304	v2	11	filler	{us: usx, uv: uv2}	1	7.1731917424866	1	1	unambiguous	target
25	female	English	4.07365	s1	{us: usx, uv: uv1}	{us: us2, uv: uv1}	s2	v1	s2_v1	target_s1_v2	sx_v1	ambiguous	v1	s1	v2	s2	2	4	1	3	distractor2	competitor	target	distractor1	target	distractor	target	competitor	1040	v2	12	filler	{us: us1, uv: uv2}	1	6.94697599213542	1	1	ambiguous	target
25	female	English	4.07365	s1	{us: us2, uv: uv2}	{us: us1, uv: uvx}	s2	v1	target_s1_v2	s1_vx	s2_v2	complex	s2	v2	v1	s1	4	1	3	2	distractor1	target	distractor2	competitor	competitor	target	distractor	competitor	1989	v2	13	target	{us: us1, uv: uv2}	1	7.59538727885397	1	1	complex	competitor
25	female	English	4.07365	s2	{us: us2, uv: uvx}	{us: us1, uv: uv1}	v1	s1	target_s2_v2	s1_v1	s2_vx	simple	s1	s2	v1	v2	2	3	1	4	distractor2	competitor	distractor1	target	target	target	distractor	competitor	1571	v2	14	target	{us: us2, uv: uv2}	1	7.35946763825562	1	1	simple	target
